review_text,sentiment
The product quality is amazing!!! I love it :),positive
Terrible service... I will NEVER buy again!!!,negative
"Pretty good (7/10), but could be better.",neutral
Absolutely fantastic experience!!!,positive
Not great :( had a lot of issues.,negative
I am so happy with this purchase <3,positive
Worst decision ever. Waste of $100!!!,negative
It works fine; nothing extraordinary.,neutral
Exceeded my expectations: 10/10!!!,positive
Disappointed... it broke after a week :(,negative
